Date/Time,BLOCK BALCONY_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_3_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK STORAGE_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK BATHROOM_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly) 
 03/18  16:00:00,18.42119551896852,15.43822767767963,11.71073591814799,16.062934699281507,13.173744786321054,10.84890206341075,10.735033905904926,10.192614311150049 
 03/18  17:00:00,17.41045665081533,15.178784866113743,11.85657548144175,15.641134577369968,13.05857532605497,10.947337569281999,10.760527060538895,10.301989051423238 
 03/18  18:00:00,15.950120994916649,14.824792211039862,11.934051878223224,14.92252000236374,12.87378847703851,10.960627039749163,10.701950220472988,10.34694926725916 
 03/18  19:00:00,14.274691262616072,14.400234174749596,11.947228355670156,14.12649240999796,12.636732920585097,10.929582045211204,10.601425724987076,10.375424965722008 
 03/18  20:00:00,12.88339716698225,14.024472578515129,11.919324094867854,13.52728202037732,12.434301295550807,10.88968287475251,10.519493861607652,10.392442460131969 
 03/18  21:00:00,11.75004360544641,13.680251051585824,11.85082839546496,13.028647928583459,12.25298260467661,10.838400895906468,10.448474639595407,10.397401234850318 
 03/18  22:00:00,10.80768180713533,13.31537034206038,11.752402732314529,12.606412958051749,12.065938800077758,10.76853842043922,10.37280444073631,10.392436069243966 
 03/18  23:00:00,10.004598176129344,13.037583272116159,11.630943363197288,12.225134830519938,11.919198964531596,10.696210701949236,10.315334005275835,10.36906094282429 
 03/18  24:00:00,9.294301911479688,12.694903681061412,11.49079112587703,11.871644954434423,11.735258836723878,10.590773088800124,10.233516097640944,10.321760547837777 
 03/19  01:00:00,8.621092420481123,12.388999820568607,11.335262263471649,11.52544120729765,11.563068227555162,10.478135479058388,10.150561000715428,10.261388942902505 
 03/19  02:00:00,8.002300797774634,12.081572512335744,11.166974214961805,11.18926875222808,11.38511006313506,10.35033221399555,10.05600345970325,10.1859847879701 
 03/19  03:00:00,7.43158153317459,11.822643293684618,10.987432189910562,10.863366448349698,11.227233367698858,10.231457266933255,9.96788827029344,10.12304124967576 
 03/19  04:00:00,6.885526368820662,11.452347363166025,10.792878638876403,10.532848000788228,11.00283048512084,10.049512002865328,9.829576310249604,9.993862679313143 
 03/19  05:00:00,6.367332817277581,11.142500363210239,10.582507903645933,10.196455373234226,10.803891650679706,9.88312288076185,9.699898277728553,9.869955078512073 
 03/19  06:00:00,5.876930912533542,10.819415900612022,10.369405812189847,9.866658016256551,10.59094321927865,9.70049307378721,9.555553649155037,9.735518927699517 
 03/19  07:00:00,5.490161330615827,10.527471376125832,10.154780425945429,9.597372171546486,10.39888244455613,9.528186329512114,9.423801940125776,9.598568673129924 
 03/19  08:00:00,5.566395373363391,10.365223717742414,9.961722440610345,9.593291314055409,10.604578042262294,9.412833489052533,9.36368530811392,9.48542907994065 
 03/19  09:00:00,6.505976196374235,10.539921527905423,9.838369105528983,10.07004912675983,11.759519406064234,9.403365827352108,9.42500676245026,9.446946162287864 
 03/19  10:00:00,9.18514373807152,11.328521384803079,9.807125968560673,11.324070584213903,12.656746843932318,9.461605514496151,9.561119109731543,9.438971147309602 
 03/19  11:00:00,12.720703387367602,12.44902831754212,9.878657236337006,12.87174405643793,13.075419996857703,9.562236006106465,9.732349484484854,9.468152947732442 
 03/19  12:00:00,15.877939865417423,13.589024320976522,10.028565926280509,14.303978361292453,13.034406633367875,9.717576715239592,9.941353082511205,9.542887615061467 
 03/19  13:00:00,19.176156658455484,14.890890989218633,10.296883507443726,15.862808293255853,12.936319693784693,9.899719348236572,10.142250435215136,9.654335023117337 
 03/19  14:00:00,22.38993817850575,16.321404699476099,10.709207051699364,17.58002380352889,12.79742950696824,10.063499538624061,10.273118882630943,9.771026106574933 
 03/19  15:00:00,25.25698191668338,17.502890352163079,11.203295538384222,19.448612273273313,12.758294405662256,10.253622236563336,10.399124408657814,9.897972157978435 
 03/19  16:00:00,27.414854251417937,17.955364769602796,11.738334355590938,21.003410268589705,12.709682506479976,10.429744634183301,10.466177939348178,10.011311494998728 
 03/19  17:00:00,27.269263497660064,17.623628726498127,12.220789522912714,20.970326523112193,12.704587492148324,10.614915322881208,10.524211912046795,10.103535894764289 
 03/19  18:00:00,25.317402699082544,17.041181927095037,12.536655237817289,19.953396044134427,12.616237303923639,10.78881931760502,10.520821755938043,10.188642529223792 
 03/19  19:00:00,21.95528195536296,16.357452726269416,12.690155148764135,18.10071600174371,12.442890011229484,10.886520038326708,10.434751769263425,10.223454907556317 
 03/19  20:00:00,19.05527999109212,15.779313636367182,12.729183598810643,16.808463632066393,12.283906524872212,10.963308602996565,10.361601054681382,10.24064790752092 
